frame number,ball release velocity,foot speed,thigh angular velocity,knee angular velocity,thigh angle,knee angle
000000002478,,13.366719979432588,-466.542646380006,-919.6459207360576,40.36453657309736,87.83892051177362
000000002479,,9.848439540972596,-368.21858172037525,-980.4049349522459,38.031743258621454,84.77180811472766
000000002480,,9.497084708111462,-164.73914427855618,-1192.4229854939497,36.68235075589361,81.45092317958131
000000002481,,10.339220480668171,-355.26152874815153,-890.7481313248184,36.68235075589361,78.03487116225116
000000002482,,10.17761752643817,-535.3657888089444,-778.1707767677275,36.38435181583589,72.84757825978816
000000002483,,10.112125818851322,-240.78077795790378,-879.8221036825878,33.12973546841209,72.54344186633313
000000002484,21.734811014367754,8.35624688854303,84.68085678447608,-988.2713208339177,31.328692867804165,70.25316339457389
000000002485,29.2695657261523,11.305812093541215,534.565680176901,-1175.743011377807,33.976544036256854,64.04935722296229
000000002486,27.979359697749448,10.000220256870008,161.81444627862544,-988.7010177240584,33.976544036256854,62.66072865799395
000000002487,27.07550113561797,10.472359048558841,-4.5474735088646414e-14,-1025.1289926355626,36.674349669573175,58.49573328079582
000000002488,28.386194536092283,8.308226492803694,-79.22124233689587,-901.6272828445537,35.59468849904311,54.1623470457217
000000002489,27.889329558567532,8.600151953794462,22.139225011254393,-991.9515910780241,33.976544036256854,52.409438731638325
000000002490,26.856392022774344,10.342048228171338,222.6045253752083,-1188.88991839886,35.882137246204216,49.47946045235028
000000002491,27.399560970372868,9.857813985891903,203.4576754043222,-1081.96521982602,35.81608074915565,44.24283113494146
000000002492,26.769667753737554,7.298720306107751,172.33531246759952,-816.2674918603734,36.20258929000894,40.520539547649726
000000002493,28.220987002376035,8.491750330217428,76.16999994562691,-891.3037301400831,37.91671400024744,38.65980825409008
000000002494,29.308978061055832,9.073558846696878,-123.43632443538297,-938.4553976837499,37.53943387383165,36.08015621633773
000000002495,29.610728905012984,7.5421489567159625,-84.9711041355846,-798.5314314973376,36.964289289465206,31.607502246248895
000000002496,27.27086207173985,5.272699291228401,-153.09752791796217,-521.2467720051204,36.68235075589361,29.275254277252582
